gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사676296,2023,,,,,,,,,,,,,,,,,,
다사632302,2023,,,,,,,,,,,,,,,,,,
다사676295,2023,,,,,,,,,,,,,,,,,,
다사676294,2023,,,,,,,,,,,,,,,,,,
다사632303,2023,,,,,,,,,,,,,,,,,,
다사676293,2023,,,,,,,,,,,,,,,,,,
다사632304,2023,,,,,,,,,,,,,,,,,,
다사676292,2023,,,,,,,,,,,,,,,,,,
다사676291,2023,,,,,,,,,,,,,,,,,,
다사632305,2023,,,,,,,,,,,,,,,,,,
다사676290,2023,,,,,,,,,,,,,,,,,,
다사632293,2023,,,,,,,,,,,,,,,,,,
다사676310,2023,9.0,0.0,9.0,12.0,0.0,9.0,13.0,12.0,16.0,16.0,0.0,0.0,,0.0,0.0,0.0,,
다사676289,2023,,,,,,,,,,,,,,,,,,
다사676325,2023,12.0,8.0,8.0,9.0,8.0,8.0,9.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,,,
다사676321,2023,,,,,,,,,,,,,,,,,,
다사676322,2023,,,,,,,,,,,,,,,,,,
다사632284,2023,,,,,,,,,,,,,,,,,,
다사676323,2023,,,,,,,,,,,,,,,,,,
다사632283,2023,,,,,,,,,,,,0.0,0.0,,,,,
다사676324,2023,8.0,12.0,10.0,6.0,9.0,14.0,15.0,14.0,10.0,9.0,0.0,6.0,0.0,8.0,,0.0,,
다사632282,2023,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,,
다사632292,2023,,,,,,,,,,,,,,,,,,
다사676326,2023,8.0,12.0,8.0,7.0,,0.0,13.0,19.0,12.0,0.0,0.0,0.0,,0.0,,0.0,,
다사632281,2023,,,,,,,,,,,,,,,,,,
다사676327,2023,,,,,,,,,,,,,,,,,,
다사676328,2023,,,,,,,,,,,,,,,,,,
다사631383,2023,,,,,,,,,,,,,,,,,,
다사676329,2023,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
다사632285,2023,,,,,,,,,,,,,,,,,,
다사676320,2023,,,,,,,,,,,,,,,,,,
다사632286,2023,,,,,,,,,,,,,,,,,,
다사676319,2023,,,,,,,,,,,,,,,,,,
다사676318,2023,7.0,0.0,6.0,9.0,7.0,0.0,6.0,6.0,0.0,0.0,,,0.0,0.0,,,,
다사632287,2023,,,,,,,,,,,,,,,,,,
다사676317,2023,0.0,,0.0,,,,,,,,,,,,,,,
다사632288,2023,,,,,,,,,,,,,,,,,,
다사676316,2023,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
다사676315,2023,,,,,,,,,,,,,,,,,,
다사632289,2023,,,,,,,,,,,,,,,,,,
다사676314,2023,,,,,,,,,,,,,,,,,,
다사632290,2023,,,,,,,,,,,,,,,,,,
다사676313,2023,,,,,,,,,,,,,,,,,,
다사676312,2023,31.0,23.0,17.0,14.0,14.0,29.0,42.0,43.0,35.0,31.0,13.0,11.0,0.0,7.0,0.0,0.0,,
다사632291,2023,,,,,,,,,,,,,,,,,,
다사676311,2023,19.0,13.0,9.0,14.0,28.0,35.0,39.0,31.0,12.0,17.0,0.0,7.0,7.0,8.0,0.0,0.0,,0.0
다사632306,2023,,,,,,,,,,,,,,,,,,
다사676288,2023,,,,,,,,,,,,,,,,,,
다사676330,2023,15.0,7.0,12.0,7.0,0.0,0.0,6.0,13.0,13.0,9.0,7.0,0.0,0.0,0.0,,,,
다사675409,2023,,,,,,,,,,,,,,,,,,
다사675405,2023,,,,,,,,,,,,,,,,,,
다사675406,2023,,,,,,,,,,,,,,,,,,
다사632326,2023,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
다사675407,2023,,,,,,,,,,,,,,,,,,
다사632325,2023,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,0.0,0.0,,,,,,,
다사675408,2023,,,,,,,,,,,,,,,,,,
다사632324,2023,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
다사675414,2023,30.0,41.0,16.0,14.0,21.0,26.0,37.0,45.0,35.0,33.0,9.0,10.0,0.0,0.0,,0.0,,
다사675410,2023,,,,,,,,,,,,,,,,,,
다사632323,2023,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
다사675411,2023,,,,,,,,,,,,,,,,,,
다사675412,2023,,,,,,,,,,,,,,,,,,
다사632322,2023,27.0,17.0,14.0,10.0,26.0,40.0,45.0,45.0,17.0,16.0,7.0,0.0,0.0,0.0,,0.0,,
다사675413,2023,,,,,,,,,,,,,,,,,,
다사632327,2023,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
다사675404,2023,,,,,,,,,,,,,,,,,,
다사632328,2023,,,,,,,,,,,,,,,,,,
다사675403,2023,,,,,,,,,,,,,,,,,,
다사675402,2023,,,,,,,,,,,,,,,,,,
다사632329,2023,,,,,,,,,,,,,,,,,,
다사675401,2023,,,,,,,,,,,,,,,,,,
다사632330,2023,,,,,,,,,,,,,,,,,,
다사675400,2023,,,,,,,,,,,,,,,,,,
다사675399,2023,,,,,,,,,,,,,,,,,,
다사632331,2023,,,,,,,,,,,,,,,,,,
다사675398,2023,,,,,,,,,,,,,,,,,,
다사632332,2023,,,,,,,,,,,,,,,,,,
다사675397,2023,,,,,,,,,,,,,,,,,,
다사675396,2023,,,,,,,,,,,,,,,,,,
다사632333,2023,,,,,,,,,,,,,,,,,,
다사675395,2023,,,,,,,,,,,,,,,,,,
다사632321,2023,15.0,22.0,11.0,14.0,20.0,32.0,31.0,35.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,,,
다사675415,2023,78.0,69.0,47.0,35.0,30.0,32.0,71.0,99.0,65.0,70.0,22.0,21.0,8.0,8.0,,0.0,,
다사632307,2023,,,,,,,,,,,,,,,,,,
다사676282,2023,,,,,,,,,,,,,,,,,,
다사676274,2023,,,,,,,,,,,,,,,,,,
다사676275,2023,,,,,,,,,,,,,,,,,,
다사632312,2023,,,,,,,,,,,,,,,,,,
다사676276,2023,,,,,,,,,,,,,,,,,,
다사632311,2023,,,,,,,,,,,,,,,,,,
다사676281,2023,,,,,,,,,,,,,,,,,,
다사632310,2023,,,,,,,,,,,,,,,,,,
다사632320,2023,,,,,,,,,,,,,,,,,,
다사676283,2023,,,,,,,,,,,,,,,,,,
다사632309,2023,,,,,,,,,,,,,,,,,,
다사676284,2023,,,,,,,,,,,,,,,,,,
다사676286,2023,,,,,,,,,,,,,,,,,,
다사632308,2023,,,,,,,,,,,,,,,,,,
다사676287,2023,,,,,,,,,,,,,,,,,,
다사632313,2023,,,,,,,,,,,,,,,,,,
다사676273,2023,,,,,,,,,,,,,,,,,,
다사632314,2023,,,,,,,,,,,,,,,,,,
다사676272,2023,,,,,,,,,,,,,,,,,,
다사676271,2023,,,,,,,,,,,,,,,,,,
다사632315,2023,,,,,,,,,,,,,,,,,,
다사676270,2023,,,,,,,,,,,,,,,,,,
다사632316,2023,,,,,,,,,,,,,,,,,,
다사676269,2023,,,,,,,,,,,,,,,,,,
다사676268,2023,,,,,,,,,,,,,,,,,,
다사632317,2023,,,,,,,,,,,,,,,,,,
다사676267,2023,,,,,,,,,,,,,,,,,,
다사632318,2023,,,,,,,,,,,,,,,,,,
다사676266,2023,,,,,,,,,,,,,,,,,,
다사675417,2023,33.0,31.0,17.0,13.0,16.0,26.0,36.0,37.0,30.0,29.0,19.0,18.0,0.0,0.0,,,,
다사632319,2023,,,,,,,,,,,,,,,,,,
다사675416,2023,25.0,27.0,26.0,18.0,20.0,21.0,27.0,45.0,45.0,37.0,8.0,0.0,0.0,8.0,,0.0,,0.0
다사631382,2023,,,,,,,,,,,,,,,,,,
다사676331,2023,0.0,9.0,17.0,13.0,7.0,11.0,14.0,9.0,9.0,11.0,0.0,0.0,0.0,0.0,,,,
다사679343,2023,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,
다사676388,2023,33.0,33.0,49.0,23.0,31.0,30.0,47.0,31.0,41.0,44.0,18.0,20.0,10.0,21.0,0.0,0.0,,
다사676384,2023,31.0,21.0,27.0,30.0,34.0,39.0,40.0,43.0,37.0,39.0,15.0,14.0,0.0,14.0,0.0,0.0,,
다사676385,2023,18.0,15.0,12.0,15.0,17.0,10.0,36.0,20.0,30.0,21.0,13.0,19.0,0.0,6.0,,0.0,,0.0
다사631345,2023,,,,,,,,,,,,,,,,,,
다사676386,2023,12.0,14.0,13.0,10.0,16.0,13.0,20.0,19.0,22.0,16.0,8.0,11.0,0.0,12.0,0.0,0.0,,
다사631344,2023,,,,,,,,,,,,,,,,,,
다사676387,2023,22.0,12.0,22.0,18.0,28.0,22.0,49.0,30.0,39.0,42.0,17.0,27.0,10.0,19.0,0.0,0.0,,
다사631343,2023,,,,,,,,,,,,,,,,,,
다사676393,2023,,,,,,,,,,,,,,,,,,
다사676389,2023,46.0,35.0,62.0,33.0,33.0,22.0,37.0,46.0,48.0,37.0,19.0,28.0,0.0,15.0,0.0,6.0,,0.0
다사631342,2023,,,,,,,,,,,,,,,,,,
다사676390,2023,29.0,34.0,81.0,87.0,54.0,45.0,44.0,54.0,46.0,50.0,11.0,11.0,0.0,7.0,,,,
다사676391,2023,,,,,,,,,,,,,,,,,,
다사631341,2023,,,,,0.0,,,,,,,,,,,,,
다사676392,2023,,,,,,,,,,,,,,,,,,
다사631346,2023,,,,,,,,,,,,,,,,,,
다사676383,2023,23.0,23.0,16.0,14.0,17.0,12.0,31.0,40.0,33.0,35.0,17.0,18.0,0.0,7.0,0.0,0.0,,
다사631347,2023,,,,,,,,,,,,,,,,,,
다사676382,2023,27.0,14.0,21.0,16.0,23.0,28.0,28.0,32.0,34.0,38.0,18.0,28.0,6.0,12.0,,0.0,,
다사676381,2023,14.0,15.0,15.0,10.0,22.0,21.0,30.0,23.0,41.0,29.0,21.0,29.0,9.0,10.0,0.0,0.0,,
다사631348,2023,,,,,,,,,,,,,,,,,,
다사676380,2023,6.0,0.0,0.0,7.0,7.0,0.0,9.0,7.0,16.0,12.0,7.0,0.0,0.0,0.0,,0.0,,
다사631349,2023,,,,,,,,,,,,,,,,,,
다사676379,2023,22.0,9.0,13.0,0.0,20.0,15.0,37.0,30.0,44.0,48.0,19.0,39.0,11.0,21.0,0.0,0.0,,
다사676378,2023,23.0,13.0,27.0,17.0,16.0,12.0,49.0,35.0,61.0,52.0,22.0,31.0,14.0,26.0,0.0,0.0,,
다사631350,2023,,,,,,,,,,,,,,,,,,
다사676377,2023,26.0,25.0,34.0,21.0,23.0,25.0,48.0,47.0,57.0,59.0,22.0,30.0,10.0,25.0,0.0,0.0,,
다사631351,2023,,,,,,,,,,,,,,,,,,
다사676376,2023,39.0,33.0,31.0,29.0,25.0,24.0,54.0,44.0,60.0,61.0,28.0,31.0,7.0,17.0,0.0,0.0,,
다사676375,2023,20.0,24.0,36.0,27.0,27.0,29.0,37.0,41.0,28.0,32.0,17.0,16.0,0.0,6.0,0.0,0.0,,
다사631352,2023,,,,,,,,,,,,,,,,,,
다사676374,2023,30.0,25.0,35.0,15.0,28.0,10.0,20.0,22.0,32.0,15.0,9.0,14.0,0.0,0.0,,0.0,,
다사631340,2023,,,,,,,,,,,,,,,,,,
다사676394,2023,,,,,,,,,,,,,,,,,,
다사676373,2023,,,,,,,,,,,,,,,,,,
다사676409,2023,,,,,,,,,,,,,,,,,,
다사676405,2023,,,,,,,,,,,,,,,,,,
다사676406,2023,,,,,,,,,,,,,,,,,,
다사631331,2023,,,,,,,,,,,,,,,,,,
다사676407,2023,,,,,,,,,,,,,,,,,,
다사631330,2023,,,,,,,,,,,,,,,,,,
다사676408,2023,,,,,,,,,,,,,,,,,,
다사631329,2023,,,,,,,,,,,,,,,,,,
다사631339,2023,,,,,,,,,,,,,,,,,,
다사676410,2023,,,,,,,,,,,,,,,,,,
다사631328,2023,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,
다사676411,2023,,,,,,,,,,,,,,,,,,
다사676412,2023,,,,,,,,,,,,,,,,,,
다사631327,2023,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
다사676413,2023,,,,,,,,,,,,,,,,,,
다사631332,2023,,,,,,,,,,,,,,,,,,
다사676404,2023,,,,,,,,,,,,,,,,,,
다사631333,2023,,,,,,,,,,,,,,,,,,
다사676403,2023,,,,,,,,,,,,,,,,,,
다사676402,2023,,,,,,,,,,,,,,,,,,
다사631334,2023,,,,,,,,,,,,,,,,,,
다사676401,2023,,,,,,,,,,,,,,,,,,
다사631335,2023,,,,,,,,,,,,,,,,,,
다사676400,2023,,,,,,,,,,,,,,,,,,
다사676399,2023,,,,,,,,,,,,,,,,,,
다사631336,2023,,,,,,,,,,,,,,,,,,
다사676398,2023,,,,,,,,,,,,,,,,,,
다사631337,2023,,,,,,,,,,,,,,,,,,
다사676397,2023,,,,,,,,,,,,,,,,,,
다사676396,2023,,,,,,,,,,,,,,,,,,
다사631338,2023,,,,,,,,,,,,,,,,,,
다사676395,2023,,,,,,,,,,,,,,,,,,
다사631353,2023,,,,,,,,,,,,,,,,,,
다사676372,2023,54.0,54.0,153.0,89.0,67.0,25.0,74.0,28.0,65.0,25.0,33.0,20.0,10.0,11.0,,0.0,0.0,
다사631381,2023,,,,,,,,,,,,,,,,,,
다사676346,2023,22.0,26.0,30.0,24.0,16.0,14.0,20.0,25.0,21.0,22.0,7.0,8.0,0.0,0.0,,0.0,,
다사676342,2023,9.0,9.0,17.0,0.0,15.0,6.0,8.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,,,,
다사676343,2023,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,
다사631373,2023,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,
다사676344,2023,21.0,14.0,56.0,57.0,28.0,28.0,31.0,37.0,15.0,29.0,8.0,25.0,7.0,12.0,,0.0,,0.0
다사631372,2023,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
다사676345,2023,8.0,9.0,25.0,16.0,11.0,8.0,0.0,8.0,9.0,10.0,7.0,8.0,0.0,0.0,,0.0,,
다사631371,2023,,,,,,,,,,,,,,,,,,
다사676351,2023,13.0,12.0,36.0,42.0,32.0,24.0,18.0,23.0,15.0,21.0,8.0,12.0,6.0,12.0,0.0,0.0,,0.0
다사676347,2023,19.0,11.0,22.0,19.0,13.0,10.0,12.0,10.0,10.0,16.0,0.0,0.0,0.0,0.0,,0.0,,
다사631370,2023,,,,,,,,,,,,,,,,,,
다사676348,2023,9.0,11.0,12.0,10.0,10.0,10.0,6.0,0.0,0.0,11.0,0.0,0.0,,,,,,
다사676349,2023,20.0,13.0,22.0,12.0,11.0,8.0,14.0,10.0,8.0,9.0,0.0,6.0,0.0,0.0,,,,
다사631369,2023,,,,,,,,,,,,,,,,,,
다사676350,2023,23.0,17.0,42.0,45.0,37.0,24.0,26.0,36.0,28.0,34.0,9.0,11.0,0.0,8.0,0.0,0.0,,
다사631374,2023,,,,,,,,,,,0.0,0.0,,,,,,
다사676341,2023,,,,,,,,0.0,,,,,,,,,,
다사631375,2023,,,,,,,,,,,,,,,,,,
다사676340,2023,,,,,,,,,,,,,,,,,,
다사676339,2023,,,,,,,,,,,,,,,,,,
다사631376,2023,,,,,,,,,,,,,,,,,,
다사676338,2023,,,,,,,,,,,,,,,,,,
다사631377,2023,,,,,,,,,,,,,,,,,,
다사676337,2023,,,,,,,,,,,,,,,,,,
다사676336,2023,,,,,,,,,,,,,,,,,,
다사631378,2023,,,,,,,,,,,,,,,,,,
다사676335,2023,,,,,,,,,,,,,,,,,,
다사631379,2023,,,,,,,,,,,,,,,,,,
다사676334,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,8.0,0.0,0.0,,0.0,,
다사676333,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
다사631380,2023,,,,,,,,,,,,,,,,,,
다사676332,2023,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,
다사631368,2023,,,,,,,,,,,,,,,,,,
다사676352,2023,23.0,18.0,35.0,33.0,29.0,25.0,30.0,36.0,20.0,34.0,21.0,17.0,0.0,0.0,,0.0,,
다사631354,2023,,,,,,,,,,,,,,,,,,
다사676367,2023,36.0,25.0,45.0,23.0,21.0,18.0,35.0,27.0,28.0,36.0,17.0,25.0,7.0,15.0,,,,
다사676363,2023,,,,,,,,,,,,,,,,,,
다사676364,2023,,,,,,,,,,,,,,,,,,
다사631359,2023,,,,,,,,,,,,,,,,,,
다사676365,2023,,,,,,,,,,,,,,,,,,
다사631358,2023,,,,,,,,,,,,,,,,,,
다사676366,2023,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,,,,
다사631357,2023,,,,,,,,,,,,,,,,,,
다사631367,2023,,,,,,,,,,,,,,,,,,
다사676368,2023,33.0,15.0,60.0,24.0,31.0,26.0,43.0,33.0,48.0,56.0,28.0,44.0,12.0,25.0,0.0,0.0,,
다사631356,2023,,,,,,,,,,,,,,,,,,
다사676369,2023,21.0,25.0,38.0,20.0,28.0,17.0,21.0,39.0,29.0,34.0,31.0,27.0,11.0,13.0,,0.0,,
다사676370,2023,55.0,37.0,58.0,42.0,33.0,32.0,52.0,57.0,68.0,72.0,29.0,34.0,17.0,17.0,0.0,0.0,,0.0
다사631355,2023,,,,,,,,,,,,,,,,,,
다사676371,2023,45.0,32.0,41.0,21.0,41.0,26.0,50.0,40.0,46.0,49.0,15.0,19.0,10.0,14.0,,0.0,,
다사631360,2023,,,,,,,,,,,,,,,,,,
다사676362,2023,,,,,,,,,,,,,,,,,,
다사631361,2023,,,,,,,,,,,,,,,,,,
다사676361,2023,,,,,,,,,,,,,,,,,,
다사676360,2023,,,,,,,,,,,,,,,,,,
다사631362,2023,,,,,,,,,,,,,,,,,,
다사676359,2023,,,,,,,,,,,,,,,,,,
다사631363,2023,,,,,,,,,,,,,,,,,,
다사676358,2023,,,,,,,,,,,,,,,,,,
다사676357,2023,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
다사631364,2023,,,,,,,,,,,,,,,,,,
다사676356,2023,,,,,,,,,,,,,,,,,,
다사631365,2023,,,,,,,,,,,,,,,,,,
다사676355,2023,9.0,15.0,6.0,7.0,18.0,18.0,14.0,16.0,12.0,10.0,0.0,0.0,,0.0,,0.0,,
다사676354,2023,15.0,17.0,11.0,18.0,25.0,27.0,17.0,22.0,29.0,28.0,0.0,0.0,0.0,0.0,,,,
다사631366,2023,,,,,,,,,,,,,,,,,,
다사676353,2023,12.0,12.0,19.0,26.0,25.0,27.0,18.0,17.0,12.0,17.0,11.0,12.0,0.0,0.0,,0.0,,
다사632334,2023,,,,,,,,,,,,,,,,,,
다사675394,2023,,,,,,,,,,0.0,0.0,,,,,,,
다사675393,2023,,,,,,,,,,,,,,,,,,
다사633303,2023,,,,,,,,,,,,,,,,,,
다사675280,2023,,,,,,,,,,,,,,,,,,
다사633305,2023,,,,,,,,,,,,,,,,,,
다사675281,2023,,,,,,,,,,,,,,,,,,
다사633304,2023,,,,,,,,,,,,,,,,,,
다사675282,2023,,,,,,,,,,,,,,,,,,
다사675283,2023,,,,,,,,,,,,,,,,,,
다사675284,2023,,,,,,,,,,,,,,,,,,
다사675289,2023,,,,,,,,,,,,,,,,,,
다사633302,2023,,,,,,,,,,,,,,,,,,
다사675285,2023,,,,,,,,,,,,,,,,,,
다사675286,2023,,,,,,,,,,,,,,,,,,
다사633301,2023,,,,,,,,,,,,,,,,,,
다사675287,2023,,,,,,,,,,,,,,,,,,
다사633300,2023,,,,,,,,,,,,,,,,,,
다사675277,2023,,,,,,,,,,,,,,,,,,
다사633306,2023,,,,,,,,,,,,,,,,,,
다사675276,2023,,,,,,,,,,,,,,,,,,
다사633307,2023,,,,,,,,,,,,,,,,,,
다사675275,2023,,,,,,,,,,,,,,,,,,
다사675274,2023,,,,,,,,,,,,,,,,,,
다사633308,2023,,,,,,,,,,,,,,,,,,
다사675273,2023,,,,,,,,,,,,,,,,,,
다사633309,2023,,,,,,,,,,,,,,,,,,
다사675272,2023,,,,,,,,,,,,,,,,,,
다사675271,2023,,,,,,,,,,,,,,,,,,
다사633310,2023,,,,,,,,,,,,,,,,,,
다사675270,2023,,,,,,,,,,,,,,,,,,
다사633311,2023,,,,,,,,,,,,,,,,,,
다사675269,2023,,,,,,,,,,,,,,,,,,
다사675268,2023,,,,,,,,,,,,,,,,,,
다사633312,2023,,,,,,,,,,,,,,,,,,
다사675288,2023,,,,,,,,,,,,,,,,,,
다사633299,2023,,,,,,,,,,,,,,,,,,
다사633313,2023,,,,,,,,,,,,,,,,,,
다사633289,2023,,,,,,,,,,,,,,,,,,
다사675301,2023,7.0,6.0,0.0,9.0,13.0,14.0,9.0,13.0,7.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,,
다사633291,2023,,,,,,,,,,,,,,,,,,
다사675302,2023,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,
다사633290,2023,,,,,,,,,,,,,,,,,,
다사675303,2023,6.0,0.0,18.0,21.0,25.0,29.0,13.0,12.0,15.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,,
다사675304,2023,10.0,8.0,32.0,36.0,31.0,26.0,12.0,19.0,14.0,20.0,0.0,8.0,0.0,0.0,,0.0,,
다사675305,2023,36.0,33.0,20.0,17.0,29.0,44.0,53.0,51.0,43.0,31.0,14.0,21.0,7.0,6.0,,0.0,,
다사675290,2023,,,,,,,,,,,,,,,,,,
다사633288,2023,,,,,,,,,,,,,,,,,,
다사675306,2023,20.0,23.0,7.0,16.0,32.0,36.0,39.0,35.0,18.0,24.0,11.0,10.0,8.0,8.0,0.0,0.0,,
다사675307,2023,14.0,7.0,7.0,11.0,10.0,10.0,14.0,12.0,19.0,21.0,12.0,11.0,7.0,7.0,0.0,0.0,,
다사633287,2023,,,,,,,,,,,,,,,,,,
다사675308,2023,15.0,17.0,15.0,16.0,13.0,16.0,21.0,28.0,26.0,21.0,10.0,12.0,7.0,0.0,,0.0,,
다사633286,2023,,,,,,,,,,,,,,,,,,
다사675300,2023,,,,,,,,0.0,0.0,,,,,,,,,
다사633292,2023,,,,,,,,,,,,,,,,,,
다사675299,2023,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,
다사633293,2023,,,,,,,,,,,,,,,,,,
다사675298,2023,,,,,,,,,,,,,,,,,,
다사675297,2023,,,,,,,,,,,,,,,,,,
다사633294,2023,,,,,,,,,,,,,,,,,,
다사675296,2023,,,,,,,,,,,,,,,,,,
다사633295,2023,,,,,,,,,,,,,,,,,,
다사675295,2023,,,,,,,,,,,,,,,,,,
다사675294,2023,,,,,,,,,,,,,,,,,,
다사633296,2023,,,,,,,,,,,,,,,,,,
다사675293,2023,,,,,,,,,,,,,,,,,,
다사633297,2023,,,,,,,,,,,,,,,,,,
다사675292,2023,,,,,,,,,,,,,,,,,,
다사675291,2023,,,,,,,,,,,,,,,,,,
다사633298,2023,,,,,,,,,,,,,,,,,,
다사675267,2023,,,,,,,,,,,,,,,,,,
다사675266,2023,,,,,,,,,,,,,,,,,,
다사632335,2023,,,,,,,,,,,,,,,,,,
다사633331,2023,,,,,,,,,,,,,,,,,,
다사674384,2023,11.0,7.0,12.0,14.0,10.0,14.0,22.0,10.0,14.0,14.0,10.0,15.0,0.0,7.0,0.0,0.0,,
다사633333,2023,,,,,,,,,,,,,,,,,,
다사674385,2023,26.0,20.0,22.0,18.0,24.0,17.0,43.0,33.0,36.0,37.0,20.0,14.0,0.0,14.0,,0.0,,
다사633332,2023,,,,,,,,,,,,,,,,,,
다사674386,2023,34.0,28.0,40.0,15.0,44.0,28.0,58.0,39.0,66.0,46.0,23.0,37.0,12.0,23.0,0.0,0.0,,
다사674387,2023,30.0,32.0,42.0,31.0,35.0,28.0,50.0,44.0,57.0,54.0,30.0,28.0,6.0,22.0,,0.0,,
다사674388,2023,26.0,16.0,22.0,20.0,24.0,24.0,46.0,39.0,39.0,33.0,16.0,24.0,7.0,12.0,,0.0,,
다사674393,2023,,,,,,,,,,,,,,,,,,
다사633330,2023,,,,,,,,,,,,,,,,,,
다사674389,2023,10.0,10.0,11.0,10.0,6.0,7.0,14.0,12.0,15.0,14.0,0.0,14.0,0.0,0.0,0.0,,,
다사674390,2023,,,,,,,,,,,,,,,,,,
다사633329,2023,,,,,,,,,,,,,,,,,,
다사674391,2023,,,,,,,,,,,,,,,,,,
다사633328,2023,,,,,,,,,,,,,,,,,,
다사674383,2023,31.0,21.0,31.0,21.0,27.0,32.0,51.0,39.0,47.0,44.0,27.0,23.0,0.0,13.0,,0.0,,
다사633334,2023,,,,,,,,,,,,,,,,,,
다사674382,2023,29.0,19.0,41.0,31.0,25.0,24.0,51.0,41.0,50.0,45.0,25.0,27.0,6.0,13.0,0.0,0.0,,
다사633335,2023,,,,,,,,,,,,,,,,,,
